dI/dz, Integral_trapz, Conc.(mol/cm^3), D(cm^2/sec), Time(sec), Position(element), depth(μm), crystal
2.7784063269137087e-07,5.473190328811557e-15,1.9699027733251854e-08,0.001204306512634463,7.0,1.0,0.272,1.0
2.783164134653364e-07,5.324985644437547e-15,-3.1149784203922817e-07,0.0011942925386721126,7.0,2.0,0.544,1.0
2.785285712475016e-07,5.17871286046776e-15,-6.894528330611708e-07,0.0011842976642645591,7.0,3.0,0.8160000000000001,1.0
2.7847710603783974e-07,5.034358340590514e-15,2.8048952064066057e-06,0.0011743308519040594,7.0,4.0,1.088,1.0
2.7816201783635473e-07,4.891906892858974e-15,4.521002280001778e-07,0.0011644010640828705,7.0,5.0,1.36,1.0
2.7758330664302946e-07,4.751341769691146e-15,2.4289338929171527e-07,0.0011545172632932495,7.0,6.0,1.6320000000000001,1.0
2.767409724578981e-07,4.6126446678698885e-15,1.6465804697173078e-07,0.001144688412027453,7.0,7.0,1.9040000000000001,1.0
2.7563501528092644e-07,4.475795728542908e-15,1.237380091892017e-07,0.0011349234727777385,7.0,8.0,2.176,1.0
2.742654351121392e-07,4.340773537222759e-15,9.858655549876455e-08,0.0011252314080363625,7.0,9.0,2.4480000000000004,1.0
2.726322319515193e-07,4.207555123786839e-15,8.156879477587715e-08,0.0011156211802955823,7.0,10.0,2.72,1.0
2.707354057990724e-07,4.076115962477396e-15,6.929425827448048e-08,0.0011061017520476548,7.0,11.0,2.992,1.0
2.685749566548194e-07,3.94642997190153e-15,6.002732853992113e-08,0.0010966820857848363,7.0,12.0,3.2640000000000002,1.0
2.6615088451873e-07,3.8184695150311845e-15,5.278739644966746e-08,0.0010873711439993842,7.0,13.0,3.5360000000000005,1.0
2.634631893907983e-07,3.692205399203154e-15,4.697858567210259e-08,0.001078177889183556,7.0,14.0,3.8080000000000003,1.0
2.605118712710758e-07,3.567606876119074e-15,4.221792366313755e-08,0.0010691112838296078,7.0,15.0,4.08,1.0
2.572969301594864e-07,3.4446416418454383e-15,3.824805183222912e-08,0.0010601802904297974,7.0,16.0,4.352,1.0
2.5381836605611374e-07,3.3232758368135784e-15,3.4889627278735336e-08,0.0010513938714763807,7.0,17.0,4.6240000000000006,1.0
2.500761789609084e-07,3.203474045819679e-15,3.201384322750592e-08,0.001042760989461615,7.0,18.0,4.896000000000001,1.0
2.4607036887385323e-07,3.0851992980247726e-15,2.9525800081514757e-08,0.001034290606877758,7.0,19.0,5.168,1.0
2.418009357949787e-07,2.9684130669547396e-15,2.7354037154932834e-08,0.0010259916862170662,7.0,20.0,5.44,1.0
2.372678797243038e-07,2.853075270500307e-15,2.544371714273994e-08,0.001017873189971796,7.0,21.0,5.712,1.0
2.324712006617715e-07,2.7391442709170482e-15,2.375205805891698e-08,0.0010099440806342053,7.0,22.0,5.984,1.0
2.2741089860744645e-07,2.6265768748253883e-15,2.224519305037304e-08,0.00100221332069655,7.0,23.0,6.256,1.0
2.2208697356127728e-07,2.5153283332105957e-15,2.089596315688959e-08,0.0009946898726510879,7.0,24.0,6.5280000000000005,1.0
2.1649942552327545e-07,2.405352341422793e-15,1.968233490608726e-08,0.0009873826989900759,7.0,25.0,6.800000000000001,1.0
2.1064825449345994e-07,2.296601039176941e-15,1.858624567487324e-08,0.0009803007622057706,7.0,26.0,7.072000000000001,1.0
2.0453346047182885e-07,2.1890250105528583e-15,1.7592747726829747e-08,0.0009734530247904289,7.0,27.0,7.344,1.0
1.9815504345836318e-07,2.0825732839952094e-15,1.668936451362706e-08,0.000966848449236308,7.0,28.0,7.6160000000000005,1.0
1.9151300345305912e-07,1.977193332313498e-15,1.5865600267020218e-08,0.0009604959980356651,7.0,29.0,7.888000000000001,1.0
1.8460734045596037e-07,1.8728310726820868e-15,1.5112561918422145e-08,0.000954404633680756,7.0,30.0,8.16,1.0
