dI/dz, Integral_trapz, Conc.(mol/cm^3), D(cm^2/sec), Time(sec), Position(element), depth(μm), crystal
-6.395220054134156e-08,1.0199998435254758e-15,-1.59494096354996e-08,0.0005652258919085606,7.0,99.0,0.20400000000000001,2.0
-6.392886665110632e-08,9.963715583898384e-16,-1.0126166231787986e-06,0.0005657097484154709,7.0,98.0,0.40800000000000003,2.0
-6.387273046480555e-08,9.729864338734845e-16,-4.1657843286788903e-07,0.0005662206977933698,7.0,97.0,0.6120000000000001,2.0
-6.378379198246206e-08,9.498332701709319e-16,-2.603278478840326e-07,0.0005667577452213418,7.0,96.0,0.8160000000000001,2.0
-6.366205120403531e-08,9.269010400766585e-16,-1.8836934008986715e-07,0.0005673198958784703,7.0,95.0,1.02,2.0
-6.350750812958613e-08,9.041788889851015e-16,-1.4702794785559227e-07,0.0005679061549438402,7.0,94.0,1.2240000000000002,2.0
-6.332016275905115e-08,8.81656134890657e-16,-1.2022049987212837e-07,0.000568515527596535,7.0,93.0,1.428,2.0
-6.310001509246841e-08,8.593222683876794e-16,-1.0144948093094275e-07,0.0005691470190156392,7.0,92.0,1.6320000000000001,2.0
-6.28470651298328e-08,8.371669526704838e-16,-8.758774062011736e-08,0.0005697996343802367,7.0,91.0,1.836,2.0
-6.256131287114183e-08,8.151800235333431e-16,-7.694402570206196e-08,0.0005704723788694118,7.0,90.0,2.04,2.0
-6.224275831637265e-08,7.933514893704908e-16,-6.852369189531428e-08,0.0005711642576622483,7.0,89.0,2.244,2.0
-6.189140146557595e-08,7.716715311761178e-16,-6.170353059920164e-08,0.0005718742759378307,7.0,88.0,2.4480000000000004,2.0
-6.150724231869856e-08,7.501305025443735e-16,-5.607318947586853e-08,0.0005726014388752428,7.0,87.0,2.652,2.0
-6.109028087577337e-08,7.287189296693686e-16,-5.1351445651166664e-08,0.000573344751653569,7.0,86.0,2.856,2.0
-6.064051713678774e-08,7.074275113451716e-16,-4.7339117137847345e-08,0.000574103219451893,7.0,85.0,3.06,2.0
-6.015795110175938e-08,6.862471189658094e-16,-4.3891179324541316e-08,0.0005748758474492996,7.0,84.0,3.2640000000000002,2.0
-5.964258277065284e-08,6.651687965252693e-16,-4.0899529847484026e-08,0.0005756616408248723,7.0,83.0,3.4680000000000004,2.0
-5.909441214348586e-08,6.441837606174978e-16,-3.82819415484278e-08,0.0005764596047576952,7.0,82.0,3.672,2.0
-5.851343922029136e-08,6.232834004363988e-16,-3.597475776698461e-08,0.0005772687444268529,7.0,81.0,3.8760000000000003,2.0
-5.78996640010136e-08,6.02459277775837e-16,-3.3927929975840233e-08,0.0005780880650114291,7.0,80.0,4.08,2.0
-5.725308648567793e-08,5.817031270296354e-16,-3.2101565943606994e-08,0.000578916571690508,7.0,79.0,4.284,2.0
-5.657370667430968e-08,5.6100685519157585e-16,-3.0463477853982604e-08,0.000579753269643174,7.0,78.0,4.488,2.0
-5.586152456685563e-08,5.403625418553997e-16,-2.8987408024018888e-08,0.0005805971640485107,7.0,77.0,4.692,2.0
-5.5116540163356354e-08,5.197624392148066e-16,-2.7651723370089436e-08,0.0005814472600856027,7.0,76.0,4.896000000000001,2.0
-5.433875346380168e-08,4.991989720634569e-16,-2.643844020876606e-08,0.0005823025629335337,7.0,75.0,5.1000000000000005,2.0
-5.352816446819163e-08,4.786647377949682e-16,-2.533248585867437e-08,0.0005831620777713883,7.0,74.0,5.304,2.0
-5.268477317651606e-08,4.581525064029186e-16,-2.4321132544892492e-08,0.0005840248097782501,7.0,73.0,5.508000000000001,2.0
-5.180857958878257e-08,4.3765522048084486e-16,-2.339355846588137e-08,0.0005848897641332037,7.0,72.0,5.712,2.0
-5.089958370499624e-08,4.171659952222423e-16,-2.254050389453542e-08,0.0005857559460153328,7.0,71.0,5.916,2.0
-4.9957785525149446e-08,3.9667811842056583e-16,-2.1753999147682968e-08,0.0005866223606037214,7.0,70.0,6.12,2.0
-4.898318504925742e-08,3.761850504692285e-16,-2.1027147490955795e-08,0.0005874880130774543,7.0,69.0,6.324000000000001,2.0
-4.797578227729733e-08,3.556804243616038e-16,-2.0353950453927258e-08,0.0005883519086156151,7.0,68.0,6.5280000000000005,2.0
-4.6935577209279334e-08,3.351580456910236e-16,-1.972916620151018e-08,0.0005892130523972881,7.0,67.0,6.732000000000001,2.0
-4.5862569845193274e-08,3.1461189265077893e-16,-1.9148193878189234e-08,0.0005900704496015571,7.0,66.0,6.936000000000001,2.0
-4.4756760185084783e-08,2.9403611603411963e-16,-1.8606978541533636e-08,0.0005909231054075068,7.0,65.0,7.14,2.0
-4.3618148228880354e-08,2.7342503923425513e-16,-1.8101932521920523e-08,0.0005917700249942207,7.0,64.0,7.344,2.0
-4.244673397664082e-08,2.5277315824435336e-16,-1.762987000578069e-08,0.0005926102135407832,7.0,63.0,7.548,2.0
-4.124251742833576e-08,2.320751416575419e-16,-1.7187952296407175e-08,0.0005934426762262784,7.0,62.0,7.752000000000001,2.0
-4.0005498583977866e-08,2.1132583066690704e-16,-1.6773641796382888e-08,0.0005942664182297905,7.0,61.0,7.956,2.0
