D,D,D,D,D,D,D,D
4.500338611434482e-09,3.7010584832064042e-09,4.573999181938664e-09,6.920246341841856e-09,5.39766629492972e-09,5.059790809301145e-09,6.700252470725396e-09,6.573951344003531e-09
4.472231325246686e-09,3.6114918915851476e-09,4.4202374898093595e-09,6.528343682836893e-09,5.143162441722836e-09,4.9265451193733274e-09,6.4792851578291805e-09,6.407054893714459e-09
4.4464650052287575e-09,3.5249969568327373e-09,4.2730930128267915e-09,6.169488308740282e-09,4.905448571591359e-09,4.798413279536115e-09,6.269639041520827e-09,6.247468093414153e-09
4.423105990511423e-09,3.441508799524289e-09,4.132247730474103e-09,5.8398616224438786e-09,4.6831221029230144e-09,4.6752315041186e-09,6.070631276727607e-09,6.0948769255827705e-09
4.4022294844039255e-09,3.360966158341668e-09,3.997406506263754e-09,5.536220996455067e-09,4.474937409029394e-09,4.556846095434052e-09,5.8816373035015e-09,5.9489896649137505e-09
4.3839208420098805e-09,3.283311378379649e-09,3.868295210395153e-09,5.255795328411946e-09,4.279784711323739e-09,4.443113055582148e-09,5.702085153624942e-09,5.809535486776643e-09
4.368277090042144e-09,3.208490423675007e-09,3.744659044613016e-09,4.996202556743168e-09,4.096672325125194e-09,4.333897763145982e-09,5.5314504680458604e-09,5.676263252381181e-09
4.355408729188596e-09,3.1364529167785675e-09,3.626261047990651e-09,4.75538393665981e-09,3.924711659009107e-09,4.229074716032838e-09,5.369252133926041e-09,5.548940461294836e-09
4.345441882269462e-09,3.0671522089351483e-09,3.5128807655943102e-09,4.531551238672872e-09,3.763104489170954e-09,4.128527343060152e-09,5.215048465254284e-09,5.42735236504599e-09
4.338520868136408e-09,3.0005454853497593e-09,3.404313064861368e-09,4.323144005377087e-09,3.611132124490662e-09,4.032147888459706e-09,5.0684338638592735e-09,5.311301238711931e-09
4.3348113031038396e-09,2.936593911159435e-09,3.300367087107904e-09,4.128794706755245e-09,3.4681461521809046e-09,3.939837375340811e-09,4.929035908765205e-09,5.200605810748801e-09
4.3345038605132094e-09,2.875262825174428e-09,3.200865324006795e-09,3.947300149929075e-09,3.333560512826033e-09,3.851505656446055e-09,4.796512831628537e-09,5.0951008550906095e-09
