D,D,D,D,D,D,D,D
2.173951157079104e-08,1.601204790720847e-08,1.6207327929077352e-08,1.9125048948102612e-08,2.19102555096271e-08,3.494281060169261e-08,4.9732755899632056e-08,5.352675429052242e-08
2.1346096705363562e-08,1.5810395644340048e-08,1.6010366113964422e-08,1.8836229012222223e-08,2.162638863154672e-08,3.411942321931164e-08,4.841279992708156e-08,5.2309179692889954e-08
2.0958867729363163e-08,1.5612872778053282e-08,1.581715712934897e-08,1.8552723538241635e-08,2.1348524669498725e-08,3.3318973546852375e-08,4.713675144284889e-08,5.1129725701796036e-08
2.057779020357005e-08,1.5419557952949143e-08,1.5627790189928552e-08,1.8274612713264186e-08,2.107679806948745e-08,3.254091481156054e-08,4.5902954395919647e-08,4.998714473944304e-08
2.020282617798277e-08,1.5230533300878407e-08,1.5442358639491818e-08,1.800197998448924e-08,2.0811350980187882e-08,3.178472001324353e-08,4.4709838108546865e-08,4.8880243320370896e-08
1.983393382038552e-08,1.504588477887167e-08,1.526096037174034e-08,1.7734912476317478e-08,2.0552334224221286e-08,3.10498809225629e-08,4.355591122315718e-08,4.7807878749227245e-08
1.947106699581641e-08,1.4865702555243694e-08,1.5083698312485622e-08,1.7473501470235338e-08,2.029990842072093e-08,3.0335907122898354e-08,4.243975606933927e-08,4.676895599978223e-08
1.911417478919859e-08,1.4690081452385397e-08,1.4910680974213043e-08,1.7217842958812472e-08,2.00542452874172e-08,2.9642325091019212e-08,4.136002340399849e-08,4.576242475489389e-08
1.8763200961985018e-08,1.4519121456557344e-08,1.4742023096341458e-08,1.696803828752619e-08,1.9815529156655576e-08,2.8968677311793383e-08,4.031542748080575e-08,4.4787276587742336e-08
1.841808333193197e-08,1.43529283071768e-08,1.4577846387371972e-08,1.6724194901113553e-08,1.9583958747488972e-08,2.8314521421965816e-08,3.9304741407330535e-08,4.38425422647163e-08
1.8078753063036308e-08,1.419161418088022e-08,1.4418280388760656e-08,1.6486427214899733e-08,1.9359749245810257e-08,2.767942937790205e-08,3.832679274997311e-08,4.292728915031571e-08
1.7745133850079712e-08,1.4035298489075628e-08,1.4263463484866232e-08,1.6254857636218398e-08,1.914313475681519e-08,2.70629866417596e-08,3.7380459347492585e-08,4.20406186936905e-08
1.74171409790971e-08,1.388410881208704e-08,1.4113544089096138e-08,1.6029617767015223e-08,1.893437120997013e-08,2.6464791380103105e-08,3.646466529401537e-08,4.1181663975433024e-08
1.7094680241179032e-08,1.3738181998529818e-08,1.3968682043687889e-08,1.5810849826285223e-08,1.8733739816973297e-08,2.58844536682898e-08,3.5578377051415264e-08,4.0349587291545344e-08
1.677764667220153e-08,1.3597665465663177e-08,1.382905027996038e-08,1.5598708340723502e-08,1.8541551209537976e-08,2.5321594693022128e-08,3.4720599648934035e-08,3.9543577749047336e-08
1.6465923085075488e-08,1.3462718745609936e-08,1.369483679801224e-08,1.5393362164541504e-08,1.8358150418231163e-08,2.4775845944288625e-08,3.3890372924579575e-08,3.8762848844438603e-08
1.6159378353536928e-08,1.3333515334174605e-08,1.3566247040609752e-08,1.519499690573267e-08,1.8183922898775355e-08,2.4246848386282493e-08,3.308676775784359e-08,3.800663599160909e-08
1.58578653970276e-08,1.3210244914527769e-08,1.3443506756741292e-08,1.5003817857569214e-08,1.8019301872286984e-08,2.373425159482101e-08,3.2308882236349136e-08,3.727419395986672e-08
1.556121880411837e-08,1.3093116048434372e-08,1.332686547768594e-08,1.4820053562492824e-08,1.786477732625881e-08,2.323771284600093e-08,3.1555837689376755e-08,3.6564794174657126e-08
1.5269252016533657e-08,1.2982359454923258e-08,1.3216600765031413e-08,1.4643960173545529e-08,1.772090713185334e-08,2.2756896137195448e-08,3.08267745082864e-08,3.58777218229135e-08
1.4981753976000032e-08,1.2878232032776566e-08,1.3113023439342128e-08,1.4475826829645812e-08,1.7588330881695035e-08,2.2291471116617245e-08,3.01208476562387e-08,3.5212272690745395e-08
1.4698485110475342e-08,1.2781021832749989e-08,1.301648406531644e-08,1.4315982330798593e-08,1.7467787257873162e-08,2.1841111891209404e-08,2.943722174610344e-08,3.4567749642135775e-08
1.4419172502778093e-08,1.2691054253281718e-08,1.292738106166993e-08,1.4164803495435472e-08,1.7360136027523603e-08,2.1405495673856053e-08,2.8775065533498245e-08,3.3943458621661086e-08
1.414350404051608e-08,1.2608699827590862e-08,1.2846170932774049e-08,1.4022725716156078e-08,1.7266386171313507e-08,2.0984301219026158e-08,2.8133545628707243e-08,3.3338704029425226e-08
1.3871121287625043e-08,1.2534384102211082e-08,1.2773381300824336e-08,1.3890256419516832e-08,1.7187732237072887e-08,2.0577206979634005e-08,2.7511819172031853e-08,3.2752783268631466e-08
1.3601610739301945e-08,1.246860029510762e-08,1.2709627677435624e-08,1.3767992406824116e-08,1.7125601868316562e-08,2.0183888895225725e-08,2.6909025135582705e-08,3.218498020014663e-08
1.3334493015849109e-08,1.2411925693139836e-08,1.2655635291464898e-08,1.3656642447451111e-08,1.708171873169706e-08,1.980401768978268e-08,2.6324273800780206e-08,3.1634557145843615e-08
1.3069209405557165e-08,1.2365043147102456e-08,1.2612267847933173e-08,1.3557057079577424e-08,1.7058186996299518e-08,1.9437255512081133e-08,2.575663380047303e-08,3.1100744951172425e-08
1.280510496559526e-08,1.2328769617405531e-08,1.2580565931999837e-08,1.3470268451471862e-08,1.7057606497532396e-08,1.90832516861412e-08,2.5205115885490834e-08,3.058273042864612e-08
1.2541407108116761e-08,1.2304094628260168e-08,1.256179905847866e-08,1.3397544384896705e-08,1.7083232426307003e-08,1.874163724330657e-08,2.466865224339479e-08,3.0079640228216226e-08
1.2277198198828103e-08,1.2292232893649356e-08,1.2557537383277322e-08,1.3340462958403591e-08,1.7139201010471614e-08,1.8412017764302662e-08,2.4146069708277624e-08,2.9590519771161095e-08
