D,D,D,D,D,D,D,D
1.3118884571987184e-08,6.735691480893947e-09,1.046993005528992e-08,-1.8084625132758045e-07,3.2042398063529103e-08,2.1800928456761605e-08,-7.811516518761518e-07,2.6930078923607543e-08
3.2771579535336475e-08,1.2382720181062472e-08,2.2937093867668905e-08,-8.588937786360586e-09,-1.3598416458820578e-08,7.546302664669108e-08,-1.001976887539943e-08,-3.02989580659491e-08
3.058019760054399e-08,1.1979576552241876e-08,2.1872632684951507e-08,-8.862309146867459e-09,-1.4255477263044038e-08,6.818147159421053e-08,-1.0347150257483724e-08,-3.2491984999743656e-08
2.860088141554002e-08,1.1589254531805598e-08,2.086985742137947e-08,-9.157806041249305e-09,-1.4996539089967784e-08,6.199405351781247e-08,-1.0703051601267796e-08,-3.5094250783314805e-08
2.6806380006351325e-08,1.1211436766006724e-08,1.99240257152086e-08,-9.47891108702385e-09,-1.5839938798297668e-08,5.6674479599559724e-08,-1.1091843393434762e-08,-3.82332051542004e-08
2.5173932160451422e-08,1.0845820489347494e-08,1.903090281514374e-08,-9.829814742290974e-09,-1.6809629697826036e-08,5.2055017663452844e-08,-1.1518785908860372e-08,-4.2095030724908025e-08
2.3684378362501842e-08,1.0492116695651855e-08,1.81866954348932e-08,-1.0215604768166328e-08,-1.7937510211289392e-08,4.8008704155062756e-08,-1.1990267793979925e-08,-4.6962880736009185e-08
2.2321475494932688e-08,1.0150049365120322e-08,1.7387995685554234e-08,-1.0642519987645266e-08,-1.9267015895851216e-08,4.4437667256132586e-08,-1.2514125767734122e-08,-5.3289462307537463e-08
2.1071362275793557e-08,9.819354743266331e-09,1.6631733343652752e-08,-1.1118295323132077e-08,-2.0858853950942398e-08,4.12652459386511e-08,-1.3100079548218693e-08,-6.184629268922791e-08
1.992213811651067e-08,9.499780666979672e-09,1.5915135040430723e-08,-1.1652638861740456e-08,-2.2800535669473217e-08,3.8430539273724696e-08,-1.3760333553024732e-08,-7.406431135917549e-08
1.8863528285051572e-08,9.19108593459154e-09,1.5235689230366037e-08,-1.2257903903562255e-08,-2.5223005540986512e-08,3.58845544254606e-08,-1.4510425075498768e-08,-9.292984411179964e-08
1.7886615420723743e-08,8.893039716853312e-09,1.4591116006836516e-08,-1.295005576239986e-08,-2.8331403954328093e-08,3.3587431773678614e-08,-1.5370445358485315e-08,-1.2588648757578532e-07
1.6983622551432772e-08,8.605421005209054e-09,1.3979340998798873e-08,-1.3750096034751144e-08,-3.2466291074122316e-08,3.150641142685065e-08,-1.6366839956703582e-08,-1.9810111980122733e-07
1.6147736444440072e-08,8.328018094972604e-09,1.3398472719766224e-08,-1.4686218499540976e-08,-3.8237476923477465e-08,2.9614319866639413e-08,-1.7535136539076896e-08,-4.82789999797819e-07
1.5372962806252562e-08,8.060628101010251e-09,1.2846782847852444e-08,-1.5797176170040636e-08,-4.6855659514500193e-08,2.7888427872624726e-08,-1.8924209867247986e-08,1.011756615086694e-06
