D,D,D,D,D,D,D,D
6.719136929609203e-09,5.856718713768211e-09,6.530379876127049e-09,4.516424773891312e-09,4.614939314555646e-09,9.83970704583582e-09,5.192138773823601e-09,6.573076482956484e-09
9.851427979499128e-09,1.0302489303371877e-08,1.1456248427135595e-08,6.475868438444011e-09,6.8118431626261516e-09,1.5591779665299686e-08,6.610220279029264e-09,8.543017199577362e-09
9.705485358278476e-09,1.0050962211563561e-08,1.1177344696715928e-08,6.338024817737705e-09,6.667663473118397e-09,1.5283849813479128e-08,6.4979316775472595e-09,8.398245376854518e-09
9.5614754842549e-09,9.804099868662044e-09,1.0903718039892197e-08,6.202815296674351e-09,6.5261513731609424e-09,1.4981267038386374e-08,6.388135750004394e-09,8.256611005481508e-09
9.419432992135308e-09,9.561918246872873e-09,1.0635393999618745e-08,6.070271979297507e-09,6.387335465944329e-09,1.468408011080792e-08,6.280872283134139e-09,8.118156149715942e-09
9.279393739560592e-09,9.324433681305998e-09,1.0372398927435392e-08,5.940428822163067e-09,6.2512458612244735e-09,1.4392339668957558e-08,6.176183358376595e-09,7.982924968668091e-09
9.141394861646005e-09,9.091662880464895e-09,1.0114760015644738e-08,5.813321769931566e-09,6.1179142759363305e-09,1.4106098309075469e-08,6.074113519830785e-09,7.850963848325627e-09
9.00547482835399e-09,8.863622936849566e-09,9.8625053310453e-09,5.6889889030191475e-09,5.987374142774112e-09,1.3825410680652666e-08,5.974709956969023e-09,7.722321543718743e-09
8.871673505025625e-09,8.640331338155891e-09,9.615663850512132e-09,5.567470598603179e-09,5.859660727872517e-09,1.3550333587817396e-08,5.8780227040516245e-09,7.597049332109445e-09
8.740032216230873e-09,8.421805978775007e-09,9.37426549806304e-09,5.4488097064688264e-09,5.734811258221201e-09,1.3280926096583088e-08,5.78410485777418e-09,7.47520117827136e-09
8.610593813153889e-09,8.208065171529847e-09,9.138341183947364e-09,5.333051741182032e-09,5.612865059836262e-09,1.3017249648385917e-08,5.693012815150177e-09,7.356833912872381e-09
